gen,popSize,B,B_01,B_099
100,12378,4.78312,4.23555,3.14
200,12378,7.33217,6.61044,4.86999
300,12378,10.0568,9.20709,7.07999
400,12378,10.5206,9.68614,7.38999
500,12378,11.148,10.2691,7.90999
600,12378,12.0649,11.2103,8.63999
700,12378,12.0791,11.196,8.66999
800,12378,11.6345,10.7444,8.14999
900,12378,11.978,11.0881,8.66999
1000,12378,11.7988,10.8859,8.46999
1100,12378,12.2106,11.3222,8.70999
1200,12378,11.4724,10.6021,8.16999
1300,12378,11.8565,10.9535,8.40999
1400,12378,12.0297,11.1047,8.58999
1500,12378,11.9563,11.0232,8.48999
1600,12378,11.9675,11.0396,8.25999
1700,12378,11.9536,11.0846,8.54999
1800,12378,12.5595,11.622,9.04999
1900,12378,12.6894,11.7617,9.05999
2000,12378,11.7643,10.8536,8.35999
2100,12378,12.4672,11.5415,8.95999
2200,12378,12.1627,11.2243,8.86999
2300,12378,12.4511,11.5127,8.95999
2400,12378,12.4061,11.4502,8.81999
2500,12378,11.8636,10.9376,8.26999
2600,12378,12.5803,11.6691,9.09999
2700,12378,12.5786,11.6301,9.16999
2800,12378,11.8704,10.9525,8.42999
2900,12378,12.7077,11.7731,9.18999
3000,12378,12.7791,11.8359,9.07999
3100,12378,12.6886,11.744,9.05999
3200,12378,12.0133,11.0979,8.43999
3300,12378,12.2205,11.271,8.80999
3400,12378,11.5511,10.5892,8.12999
3500,12378,12.2883,11.3039,8.82999
3600,12378,11.9335,10.9879,8.44999
3700,12378,11.7658,10.7834,8.33999
3800,12378,12.7312,11.7499,8.93999
3900,12378,12.1201,11.161,8.56999
4000,12378,12.3344,11.3762,8.69999
4100,12378,12.6113,11.6811,8.95999
4200,12378,11.9875,11.0455,8.42999
4300,12378,11.2645,10.2873,7.64999
4400,12378,12.2308,11.2713,8.75999
4500,12378,12.1315,11.1871,8.68999
4600,12378,11.4923,10.5285,8.03999
4700,12378,11.766,10.792,8.22999
4800,12378,12.4029,11.4713,9.03999
4900,12378,12.7188,11.7487,9.09999
5000,12378,12.1901,11.1738,8.55999
5100,12378,12.7961,11.8421,9.19999
5200,12378,12.015,11.0312,8.56999
5300,12378,11.6859,10.7103,8.17999
5400,12378,11.7408,10.7785,8.24999
5500,12378,12.1169,11.1542,8.52999
5600,12378,12.067,11.1161,8.39999
5700,12378,12.8038,11.8443,9.09999
5800,12378,12.5165,11.5818,8.69999
5900,12378,12.2893,11.3456,8.79999
6000,12378,12.8201,11.8731,9.23999
6100,12378,11.7384,10.7947,8.26999
6200,12378,11.2051,10.2913,7.81999
6300,12378,12.1697,11.2095,8.59999
6400,12378,12.5513,11.592,8.93999
6500,12378,11.9928,11.0377,8.48999
6600,12378,12.5246,11.537,8.80999
6700,12378,11.8401,10.8614,8.23999
6800,12378,12.5791,11.6085,9.04999
6900,12378,11.732,10.7812,8.26999
7000,12378,12.3871,11.443,8.90999
7100,12378,12.5973,11.6376,9.14999
7200,12378,12.7424,11.8145,9.35999
7300,12378,12.1257,11.1629,8.55999
7400,12378,12.564,11.563,9.01999
7500,12378,12.3381,11.3822,8.81999
7600,12378,12.2672,11.3119,8.82999
7700,12378,12.1229,11.1656,8.48999
7800,12378,12.7379,11.7174,9.04999
7900,12378,12.0964,11.1455,8.39999
8000,12378,12.5086,11.5474,8.93999
8100,12378,12.0391,11.0726,8.47999
8200,12378,12.3198,11.3592,8.75999
8300,12378,12.2736,11.3229,8.68999
8400,12378,12.3456,11.3609,8.90999
8500,12378,12.0253,11.1146,8.37999
8600,12378,12.2176,11.2881,8.63999
8700,12378,12.6417,11.662,9.08999
8800,12378,12.8367,11.897,9.20999
8900,12378,12.6649,11.7096,8.90999
9000,12378,12.6034,11.6222,9.22999
9100,12378,11.9789,11.0016,8.61999
9200,12378,12.4415,11.4842,8.95999
9300,12378,12.4401,11.4957,8.93999
9400,12378,11.5301,10.5554,8.01999
9500,12378,11.9686,10.9722,8.39999
9600,12378,11.857,10.9066,8.32999
9700,12378,11.3073,10.3414,7.77999
9800,12378,12.2172,11.261,8.71999
9900,12378,12.2085,11.2401,8.87999
10000,1048,11.4262,10.4374,7.98999
10100,1048,7.29058,6.34575,4.48999
10200,1048,5.35496,4.38101,2.67
10300,13625,5.93194,4.98159,3.23
10400,13625,7.71611,6.76456,4.82999
10500,13625,9.38184,8.42448,6.30999
10600,13625,10.8056,9.85051,7.58999
10700,13625,11.4731,10.4937,7.98999
10800,13625,11.7696,10.7923,8.38999
10900,13625,12.9675,12.0108,9.47999
11000,13625,12.2229,11.2429,8.63999
11100,13625,12.1542,11.1905,8.84999
11200,13625,12.3433,11.3485,8.78999
11300,13625,12.2381,11.2396,8.60999
11400,13625,13.0893,12.122,9.64999
11500,13625,13.1633,12.2066,9.65999
11600,13625,13.2696,12.305,9.52999
11700,13625,13.5845,12.6292,9.93999
11800,13625,12.8947,11.9161,9.26999
11900,13625,12.9771,12.0176,9.27999
12000,14502,12.6958,11.7106,9.03999
12100,31638,13.2724,12.2697,9.76999
12200,69022,13.4912,12.5171,9.95999
12300,150577,15.2446,14.2679,11.28
12400,328498,16.9436,15.9813,13.02
12489,657719,19.975,18.9863,15.97
