gen,popSize,B,B_01,B_099
100,12378,0.800918,0.237341,0.0
200,12378,1.59365,0.453363,0.0
300,12378,2.34283,0.675363,0.0
400,12378,3.07106,0.880115,0.0
500,12378,3.69461,0.992355,0.0
600,12378,4.21201,1.1465,0.0
700,12378,4.64428,1.2177,0.0
800,12378,5.26383,1.36264,0.0
900,12378,5.49768,1.38133,0.0
1000,12378,6.01561,1.49093,0.0
1100,12378,6.31829,1.50041,0.0
1200,12378,6.67953,1.52434,0.0
1300,12378,6.86088,1.4698,0.0
1400,12378,7.1652,1.50553,0.0
1500,12378,7.53349,1.59169,0.0
1600,12378,7.73885,1.59112,0.0
1700,12378,7.87245,1.62941,0.0
1800,12378,8.16456,1.6996,0.0
1900,12378,8.0884,1.58401,0.0
2000,12378,8.29936,1.57553,0.0
2100,12378,8.61908,1.70119,0.0
2200,12378,8.87987,1.83934,0.0
2300,12378,8.95764,1.81395,0.0
2400,12378,8.83806,1.65079,0.0
2500,12378,9.18178,1.82029,0.0
2600,12378,9.2327,1.77911,0.0
2700,12378,9.20609,1.7776,0.0
2800,12378,9.3997,1.77122,0.0
2900,12378,9.4301,1.7975,0.0
3000,12378,9.58229,1.82508,0.0
3100,12378,9.51023,1.75178,0.0
3200,12378,9.64796,1.833,0.0
3300,12378,9.65349,1.67244,0.0
3400,12378,9.7232,1.74528,0.0
3500,12378,9.81795,1.70428,0.0
3600,12378,9.74371,1.69319,0.0
3700,12378,9.8759,1.69534,0.0
3800,12378,10.0511,1.78187,0.0
3900,12378,10.0642,1.73733,0.0
4000,12378,10.1834,1.86609,0.0
4100,12378,10.0942,1.71037,0.0
4200,12378,10.0615,1.73111,0.0
4300,12378,10.1075,1.77027,0.0
4400,12378,10.1152,1.78465,0.0
4500,12378,10.2234,1.69281,0.0
4600,12378,10.2328,1.64489,0.0
4700,12378,10.306,1.73923,0.0
4800,12378,10.3079,1.693,0.0
4900,12378,10.2641,1.63006,0.0
5000,12378,10.2821,1.70791,0.0
5100,12378,10.447,1.7056,0.0
5200,12378,10.4237,1.75546,0.0
5300,12378,10.5096,1.83005,0.0
5400,12378,10.6,1.83597,0.0
5500,12378,10.5362,1.84662,0.0
5600,12378,10.622,1.84377,0.0
5700,12378,10.575,1.81344,0.0
5800,12378,10.494,1.80087,0.0
5900,12378,10.4879,1.7542,0.0
6000,12378,10.6459,1.87167,0.0
6100,12378,10.4562,1.83593,0.0
6200,12378,10.4339,1.69809,0.0
6300,12378,10.5362,1.72562,0.0
6400,12378,10.5167,1.74337,0.0
6500,12378,10.5481,1.77665,0.0
6600,12378,10.7674,1.82867,0.0
6700,12378,10.8813,1.81712,0.0
6800,12378,10.8494,1.89547,0.0
6900,12378,10.7757,1.81328,0.0
7000,12378,10.9162,1.83992,0.0
7100,12378,10.8509,1.85261,0.0
7200,12378,10.9781,1.89743,0.0
7300,12378,10.777,1.82253,0.0
7400,12378,10.8625,1.76939,0.0
7500,12378,10.8629,1.8122,0.0
7600,12378,10.8327,1.78388,0.0
7700,12378,10.702,1.66272,0.0
7800,12378,10.8743,1.78272,0.0
7900,12378,10.9182,1.86421,0.0
8000,12378,10.8266,1.75196,0.0
8100,12378,10.733,1.69851,0.0
8200,12378,10.8617,1.86695,0.0
8300,12378,10.9068,1.85574,0.0
8400,12378,10.6753,1.67774,0.0
8500,12378,10.8281,1.66765,0.0
8600,12378,10.8138,1.7431,0.0
8700,12378,10.9223,1.74895,0.0
8800,12378,10.8262,1.69538,0.0
8900,12378,10.8673,1.68392,0.0
9000,12378,10.9215,1.79455,0.0
9100,12378,10.9112,1.71097,0.0
9200,12378,10.891,1.70612,0.0
9300,12378,10.9359,1.73578,0.0
9400,12378,10.8648,1.76995,0.0
9500,12378,10.9899,1.93648,0.0
9600,12378,10.9408,1.7596,0.0
9700,12378,11.0647,1.72075,0.0
9800,12378,10.9857,1.76748,0.0
9900,12378,11.0303,1.757,0.0
10000,1048,11.0746,1.83989,0.0
10100,1048,9.89498,1.31667,0.0
10200,1048,8.84207,1.12466,0.0
10300,13625,7.90423,0.906119,0.0
10400,13625,7.81042,0.991343,0.0
10500,13625,7.85867,1.04435,0.0
10600,13625,7.98544,1.22191,0.0
10700,13625,8.02554,1.24799,0.0
10800,13625,8.37428,1.3943,0.0
10900,13625,8.46396,1.36862,0.0
11000,13625,8.657,1.34357,0.0
11100,13625,9.0548,1.53095,0.0
11200,13625,9.15887,1.54093,0.0
11300,13625,9.3179,1.55788,0.0
11400,13625,9.57466,1.64288,0.0
11500,13625,9.67566,1.62137,0.0
11600,13625,9.74049,1.69304,0.0
11700,13625,9.97783,1.76802,0.0
11800,13625,10.093,1.76862,0.0
11900,13625,10.2054,1.70571,0.0
12000,14502,9.93674,1.61257,0.0
12100,31638,10.4028,1.91373,0.0
12200,69022,10.4934,1.88434,0.0
12300,150577,10.862,2.00649,0.0
12400,328498,11.2523,2.16219,0.0
12489,657719,11.4371,2.06709,0.0
