gen,popSize,B,B_01,B_099
100,12378,0.898252,0.435149,0.19
200,12378,1.65113,0.810373,0.33
300,12378,2.09895,0.944379,0.34
400,12378,2.57588,1.18346,0.41
500,12378,2.9303,1.34351,0.35
600,12378,3.35346,1.50552,0.46
700,12378,3.6315,1.67667,0.59
800,12378,3.94539,1.85935,0.58
900,12378,4.17143,1.93959,0.55
1000,12378,4.29854,2.02457,0.5
1100,12378,4.12597,1.84082,0.32
1200,12378,4.34032,1.94124,0.39
1300,12378,4.48712,1.9631,0.41
1400,12378,4.601,1.99428,0.52
1500,12378,4.77023,2.1086,0.61
1600,12378,4.72258,2.04141,0.55
1700,12378,4.9428,2.23015,0.61
1800,12378,4.86179,2.20491,0.62
1900,12378,4.95258,2.25287,0.46
2000,12378,4.81588,2.05719,0.41
2100,12378,4.8979,2.19021,0.44
2200,12378,5.06253,2.34459,0.43
2300,12378,5.09347,2.30828,0.52
2400,12378,5.01188,2.20453,0.43
2500,12378,4.95512,2.17345,0.52
2600,12378,4.89812,2.12598,0.53
2700,12378,5.1184,2.24142,0.67
2800,12378,4.94168,2.05394,0.53
2900,12378,5.20042,2.29114,0.59
3000,12378,5.09481,2.24191,0.51
3100,12378,5.15758,2.22896,0.45
3200,12378,5.0765,2.20093,0.49
3300,12378,5.22277,2.3903,0.56
3400,12378,5.22068,2.34767,0.51
3500,12378,5.17656,2.3326,0.47
3600,12378,5.3147,2.35117,0.6
3700,12378,5.27282,2.41596,0.54
3800,12378,5.31872,2.42577,0.63
3900,12378,5.14699,2.23817,0.46
4000,12378,5.31107,2.42204,0.58
4100,12378,5.32434,2.51011,0.7
4200,12378,5.13231,2.29139,0.52
4300,12378,5.19249,2.30332,0.38
4400,12378,5.24861,2.3743,0.58
4500,12378,5.11763,2.268,0.5
4600,12378,5.21038,2.36251,0.54
4700,12378,5.23659,2.33836,0.41
4800,12378,5.1513,2.25889,0.5
4900,12378,5.09613,2.25029,0.53
5000,12378,5.2681,2.40006,0.67
5100,12378,5.3666,2.43351,0.57
5200,12378,5.30584,2.33848,0.43
5300,12378,5.37585,2.36857,0.5
5400,12378,5.31274,2.32157,0.6
5500,12378,5.57323,2.63323,0.74
5600,12378,5.31145,2.33445,0.47
5700,12378,5.19911,2.19404,0.38
5800,12378,5.17404,2.25101,0.4
5900,12378,5.1969,2.23178,0.45
6000,12378,5.24622,2.29426,0.57
6100,12378,5.14778,2.15041,0.35
6200,12378,5.25939,2.28628,0.42
6300,12378,5.38116,2.39946,0.39
6400,12378,5.451,2.45706,0.53
6500,12378,5.46263,2.43808,0.55
6600,12378,5.35555,2.43797,0.48
6700,12378,5.22671,2.34873,0.54
6800,12378,5.32225,2.3921,0.53
6900,12378,5.37105,2.41087,0.65
7000,12378,5.41642,2.40013,0.65
7100,12378,5.08081,2.10721,0.46
7200,12378,5.20932,2.23663,0.48
7300,12378,5.32343,2.25081,0.48
7400,12378,5.31406,2.26949,0.48
7500,12378,5.09023,2.13878,0.4
7600,12378,5.15002,2.15908,0.45
7700,12378,5.16071,2.16077,0.38
7800,12378,5.12367,2.16093,0.44
7900,12378,5.15542,2.25504,0.54
8000,12378,5.02328,2.04929,0.4
8100,12378,4.94442,2.03669,0.45
8200,12378,5.21263,2.23767,0.55
8300,12378,5.12362,2.16332,0.63
8400,12378,5.15901,2.22463,0.6
8500,12378,5.37326,2.30691,0.47
8600,12378,5.38159,2.35708,0.52
8700,12378,5.43556,2.45575,0.72
8800,12378,5.31542,2.37013,0.55
8900,12378,5.13201,2.24336,0.49
9000,12378,5.22568,2.26531,0.37
9100,12378,5.2752,2.3215,0.52
9200,12378,5.06307,2.10932,0.31
9300,12378,5.17423,2.23012,0.49
9400,12378,5.5501,2.6119,0.74
9500,12378,5.15009,2.22505,0.42
9600,12378,5.30588,2.35532,0.53
9700,12378,5.24766,2.24492,0.53
9800,12378,5.32355,2.38081,0.58
9900,12378,5.22646,2.22452,0.43
10000,1048,5.31836,2.34843,0.5
10100,1048,4.33235,1.55801,0.29
10200,1048,3.89764,1.21258,0.16
10300,13625,3.54364,0.973459,0.21
10400,13625,3.69202,1.12972,0.24
10500,13625,3.82921,1.21139,0.24
10600,13625,4.28803,1.5891,0.43
10700,13625,4.4274,1.74138,0.48
10800,13625,4.86125,2.17763,0.76
10900,13625,4.9172,2.14988,0.58
11000,13625,4.88962,2.05736,0.54
11100,13625,5.23225,2.36117,0.72
11200,13625,4.9967,2.12247,0.44
11300,13625,5.00255,2.13703,0.43
11400,13625,4.94294,2.00273,0.29
11500,13625,5.03608,2.17449,0.49
11600,13625,5.32505,2.31177,0.58
11700,13625,5.38639,2.41735,0.64
11800,13625,5.62186,2.68776,0.72
11900,13625,5.22199,2.27535,0.51
12000,14502,5.36737,2.4032,0.7
12100,31638,5.34643,2.35485,0.59
12200,69022,5.2747,2.30741,0.47
12300,150577,5.60291,2.55688,0.63
12400,328498,6.02061,2.97793,0.97
12489,657719,6.2553,3.15026,0.88
